,trainee,ranking_week2,ranking_week4,ranking_week6
0,Rimiko,1,2,2
1,Tony ,2,1,1
2,Jojo,3,5,5
3,Lian Huaiwei,4,6,6
4,Sun Yihang,5,7,7
5,Liang Sen,6,3,3
6,Jun Liu,7,9,8
7,Jiang Jingzuo,8,13,14
8,Ikelili,9,14,18
9,Drcchen,10,11,13
10,Waston,11,15,17
11,Jerome.D,12,8,9
12,Liam,13,18,22
13,Chase Lee,14,10,10
14,Jeremy,15,20,20
15,Jeremy,15,20,99
16,Jeremy,15,91,20
17,Jeremy,15,91,99
18,Chuk,16,22,23
19,Nemo,17,16,12
20,DING,18,28,37
21,Hosky,19,32,54
22,ZIYU,20,27,28
23,Yang Haoming,21,26,27
24,Niu Zaizai,22,29,30
25,Zheng Xingyuan,23,31,34
26,G.G Zhang Siyuan,24,17,19
27,Otter,25,34,44
28,Husky,26,33,47
29,WD,27,21,26
30,Ayu,28,30,24
31,Kachine,29,12,11
32,Mr.17,30,41,53
33,Cass,31,45,57
34,Crayon,32,36,33
35,Yang Yangyang,33,50,71
36,Dream,34,51,61
37,DEDE,35,54,66
38,Krystian,36,24,25
39,Evaldo,37,84,64
40,BoogieFish,38,39,38
41,Alpha King,39,59,72
42,Owen,40,49,51
43,Jason.K,41,65,69
44,Kaiden,42,58,68
45,Alan,43,53,56
46,Neil,44,80,85
47,Neil,44,80,96
48,Neil,44,83,85
49,Neil,44,83,96
50,TAOO,45,57,76
51,Kingston,46,38,31
52,Layzon,47,56,81
53,Luo Yizhou,48,19,16
54,Kepler,49,89,104
55,Yuyanlong,50,67,82
56,Zhang Jingyun,51,68,70
57,Lilstar,52,78,94
58,Yuta,53,43,42
59,Ailizati,54,47,55
60,Li Mingxu,55,63,74
61,Hans,56,35,41
62,Neil,57,80,85
63,Neil,57,80,96
64,Neil,57,83,85
65,Neil,57,83,96
66,Jaydon,58,52,40
67,Cai Feiyang,59,97,107
68,Kin,60,42,43
69,Jacky,61,46,29
70,One,62,37,39
71,Wang Jiachen,63,60,45
72,Sai,64,73,78
73,Bai Lu,65,82,60
74,Kuma,66,85,67
75,S.Titch,67,66,65
76,He Derui,68,98,35
77,Ebon,69,99,110
78,Dow,70,40,32
79,Zhang Shuaibo,71,95,100
80,Yuchoen,72,72,63
81,Chen Xuanxiao,73,81,95
82,Lucas,74,96,106
83,Vic Wei,75,70,77
84,Jayden,76,86,102
85,Casper,77,61,50
86,Lin,78,74,80
87,Russell,79,94,97
88,Joker,80,69,88
89,Xu Bin,81,64,92
90,Merman,82,75,89
91,Zhou Zijie,83,55,46
92,Wei Hongyu,84,4,4
93,Tim,85,87,93
94,LEO,86,105,86
95,Keerlijun,87,93,36
96,Fu,88,79,79
97,Li Tianqi,89,103,112
98,River,90,44,48
99,Jony,91,71,59
100,Tommy,92,111,87
101,Xu Ziwei,93,25,15
102,Han Ruize,94,88,75
103,X,95,23,21
104,River.,96,100,84
105,Liu Qi,97,76,52
106,IAN,98,107,114
107,Jeremy,99,20,20
108,Jeremy,99,20,99
109,Jeremy,99,91,20
110,Jeremy,99,91,99
111,Ken,100,108,90
112,Shi An,101,113,116
113,Swen,102,77,62
114,Chen Zilong,103,114,113
115,Li Tianyi,104,118,73
116,Andy,105,62,49
117,J-jin,106,117,109
118,KK,107,109,105
119,SoNex,108,110,101
120,May,109,101,108
121,Lion Lee,110,116,117
122,Shi Shang,111,106,103
123,Zhao Mingxuan,112,115,118
124,Fang Zheng,113,112,83
125,Bernie,114,104,111
126,Johan,115,92,98
127,Cao Yuxue,116,102,115
128,The Dream,117,90,91
129,Cole,118,48,58
